id,name,nationality,city,latitude,longitude,gender,ethnic.group,age,english.grade,math.grade,sciences.grade,language.grade,portfolio.rating,coverletter.rating,refletter.rating,GPA
2145,Gaeun,South Korea,Seoul,76.59,-137.17,F,Japanese,21,5.0,4.6,3.5,4.8,3,2,2,4.475
614,Amos,United States of America,New York,-54.85,-119.61,M,Asian,30,4.6,4.1,4.3,4.9,3,1,5,4.475
1490,Fabian,Argentina,Cordoba,-4.08,-174.88,M,Arab,18,3.7,4.7,4.6,4.7,2,4,3,4.425
895,Dohyun,South Korea,Seoul,-32.03,-68.79,F,Japanese,25,3.9,4.7,4.8,4.3,3,1,2,4.425
337,Isabelle,France,Lyon,34.61,151.02,M,African,27,4.9,4.9,4.4,3.3,1,4,2,4.375
483,Sophia,Australia,Perth,32.9,-43.47,M,Irish,22,2.8,4.6,5.0,4.7,5,4,2,4.2749999999999995
286,Michael Griffin,United States of America,New York,40.71,-74.01,M,Black or African American,21,4.0,4.0,4.0,5.0,3,5,5,4.25
1433,Christopher,United States of America,Houston,-35.94,58.46,F,Black or African American,27,4.7,4.3,4.9,3.1,3,3,4,4.25
1423,Yang Ling,China,Chengdu,37.78,-115.43,F,Tibetan,26,4.0,4.5,3.5,4.9,1,3,1,4.225
1870,Liu Ling,China,Guangzhou,-49.95,5.56,M,Mongol,29,4.3,3.6,4.3,4.7,2,3,1,4.225
830,Thi Bao,Vietnam,Hà Nội,89.01,119.11,M,Kinh,28,3.2,4.3,4.8,4.6,4,2,5,4.225
1836,Ryo,Japan,Kyoto,-88.86,-134.98,F,Ainu,27,4.7,4.4,3.4,4.3,3,1,3,4.2
98,Jason Hundsdorfer,United States of America,Los Angeles,34.05,-118.24,M,Native American,20,3.9,3.9,4.0,5.0,3,3,3,4.2
294,Matthew Obourn,United States of America,San Diego,32.72,-117.16,M,Black or African American,23,3.9,4.0,3.9,5.0,4,4,4,4.2
927,Bao Hoa,Vietnam,Hồ Chí Minh,35.33,54.95,F,Kinh,29,4.6,4.4,3.4,4.4,2,1,2,4.2
733,Ramy,Egypt,Alexandria,-76.04,100.87,M,Bedouin,26,4.9,4.0,4.2,3.7,1,2,1,4.2
1917,Johannes,Germany,Cologne,26.78,-36.24,F,Polish,27,4.3,4.7,3.5,4.3,2,5,2,4.2
457,Marc,France,Toulouse,86.46,-134.63,M,Berber,20,4.8,2.6,4.9,4.5,5,4,1,4.2
801,Eleanor,United States of America,New York,65.95,-167.55,M,White,23,4.6,4.6,4.1,3.5,2,2,1,4.199999999999999
439,João,Brazil,Salvador,78.09,176.71,F,Black,20,3.6,3.2,5.0,4.9,3,2,5,4.175000000000001
1552,Reem,Egypt,Giza,40.76,-22.59,F,Berber,25,4.8,4.6,3.0,4.3,4,4,1,4.175
146,Juhaina al-Bilal,Bangladesh,Dhaka,23.72,90.41,F,,20,3.9,3.9,3.9,5.0,5,4,5,4.175
384,Jieun,South Korea,Seoul,60.81,-102.39,M,Korean,24,3.6,4.6,4.6,3.9,1,5,1,4.175
672,Miyu,Japan,Nagoya,-6.51,-6.57,M,Ryukyuans,26,4.4,3.9,3.8,4.5,1,4,5,4.15
1761,Vincenzo,Italy,Naples,27.19,117.15,M,Sardinian,20,4.7,3.2,4.9,3.8,2,3,5,4.15
422,Liang Fen,China,Chengdu,-54.26,-91.53,M,Tibetan,22,4.4,4.6,3.4,4.2,1,1,4,4.15
154,Kaitlin Krueger,United States of America,Los Angeles,34.05,-118.24,F,Native American,24,3.7,3.9,4.0,5.0,4,5,4,4.15
91,Daisha Schmidt,United States of America,Boulder,40.02,-105.27,F,Native American,22,3.7,3.9,4.0,5.0,5,4,4,4.15
54,Nicole Humpal,No infor,Walnut Creek,37.91,-122.06,F,Black or African American,22,3.9,3.7,4.0,5.0,3,5,3,4.15
240,Rylee Onstott,United States of America,Los Angeles,34.05,-118.24,other,Black or African American,21,4.0,3.8,3.8,5.0,5,5,3,4.15
1243,Ekaterina,Russia,Saint Petersburg,-59.45,153.56,F,Russian,22,4.6,2.8,4.6,4.5,3,2,1,4.125
1645,Fabio,Brazil,Rio de Janeiro,-28.84,-112.76,M,Asian,18,2.6,4.4,4.8,4.7,3,4,4,4.125
853,Joseph,United States of America,Houston,-48.87,-8.8,M,White,25,4.7,4.3,3.0,4.5,4,1,4,4.125
142,Alexandria Fortner,United States of America,Phoenix,33.45,-112.07,F,Asian,20,3.9,3.8,3.8,5.0,4,4,5,4.125
143,Savannah Kivett,United States of America,Colorado Springs,38.83,-104.82,F,Black or African American,21,3.8,3.9,3.8,5.0,4,4,5,4.125
159,Daniel Spurlin,United States of America,San Jose,37.34,-121.89,M,Native American,24,3.9,3.9,3.7,5.0,5,5,3,4.125
160,Trevor Bulba,United States of America,Chicago,41.85,-87.65,M,White,21,3.9,3.8,3.8,5.0,5,4,5,4.125
174,Andrew Bishop,United States of America,Los Angeles,34.05,-118.24,M,Native American,22,4.0,3.7,3.8,5.0,3,3,3,4.125
303,Madison Fithian,United States of America,Los Angeles,34.05,-118.24,F,Asian,20,3.6,3.9,4.0,5.0,5,5,3,4.125
182,Billy Jack Bestle,United States of America,Baltimore,39.29,-76.61,M,Asian,22,3.7,4.0,3.8,5.0,5,4,5,4.125
195,Joshua Mesan,United States of America,San Jose,37.34,-121.89,M,White,24,4.0,3.8,3.7,5.0,5,4,5,4.125
1557,Anatoly,Russia,Moscow,-20.88,-118.5,M,Russian,21,3.7,3.4,4.5,4.9,3,2,5,4.125
100,Rachel Bakeman,United States of America,Phoenix,33.45,-112.07,F,Asian,24,3.9,3.7,3.8,5.0,4,5,3,4.1
233,Joseph Hazelton,United States of America,Oakland,37.8,-122.27,M,White,22,3.5,4.0,3.9,5.0,5,4,5,4.1
263,Ryan Heidebrecht,United States of America,San Jose,37.34,-121.89,M,Black or African American,22,3.9,3.7,3.8,5.0,5,3,5,4.1
826,Júlia,Brazil,Salvador,-44.92,-31.74,F,White,20,3.3,4.8,3.4,4.9,1,4,2,4.1
168,Chelsea Persky,United States of America,San Bernardino,34.11,-117.29,F,Black or African American,23,3.9,3.4,4.0,5.0,3,3,4,4.075
12,Alexander Sherman,No infor,Omaha,41.26,-95.94,M,Asian,20,3.8,3.6,3.9,5.0,4,4,5,4.075
